t89 [H]OC1=C([H])S(=O)(=O)N=C2Sc3c([H])c([H])c([H])c(OC([H])([H])[H])c3N21
t89 [H]C(=O)c1c([H])c([H])c(N([H])C2=NS(=O)(=O)c3c([H])c(F)c([H])c([H])c3S2)c([H])c1[H]
t89 [H]OC1=C(C(=O)C([H])([H])S(=O)[O-])S(=O)(=O)N=C2Sc3c([H])c(C([H])([H])[H])c([H])c([H])c3N21
t142k [H]c1c([H])c([H])c2c(c1[H])SN([H])[S+]2[O-]
t142k [H]C([H])([H])C([H])([H])N1C(=O)C(Cl)=C(Cl)[S+]1[O-]
t142k [H]N1[S+]([O-])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
t101 [H]C1=C(/C([H])=C(\[H])C([H])([H])[H])OC2([H])OC23C(=O)[C@@]([H])(C([H])([H])[H])C(=O)C([H])=C13
t101 [H]C#C[C@]1(c2c([H])c(N([H])[H])c([H])c([H])c2F)N=C(N([H])[H])O[C@]2([H])C([H])([H])[C@]12[H]
t101 [H]C1=C(C([H])([H])[H])[C@@]2([H])C([H])([H])[C@]3(C(=O)O[C@@]4([H])O[C@]43[H])C([H])([H])[C@]2(C([H])([H])[H])C([H])=C1C([H])([H])[H]
t141 [H]/[N+]([O-])=N/OC([H])([H])C([H])([H])S(=O)(=O)C([H])([H])[H]
t141 [H]C(=O)C1=C([O-])N([H])N=[N+]1C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]
t141 [H]C(=O)C([H])([H])C1([H])C([H])=NN2c3c([H])c(Cl)c([H])c([H])c3[N+]([O-])=NC21[H]
t88 [H]Oc1c(C([H])=O)c([H])c([H])c([H])c1N([H])C1=NS(=O)(=O)N=C1N([H])[C@@]([H])(C1=C([H])C([H])=C(C([H])([H])[H])O1)C([H])([H])C([H])([H])[H]
t88 [H]/C(=N\N(C1=NS(=O)(=O)c2c([H])c([H])c([H])c([H])c21)C([H])([H])C([H])([H])C#N)c1c([H])c(OC([H])([H])[H])c([H])c([H])c1OC([H])([H])[H]
t88 [H]c1c(Br)c(OC([H])([H])C([H])([H])[H])c(OC([H])([H])[H])c([H])c1C1([H])N2C(=NS(=O)(=O)N1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H]
t18a [H]C(=O)[C@@]1([H])C([H])(c2c([H])c([H])c(Cl)c([H])c2[H])OC2(C(=O)c3c([H])c([H])c([H])c([H])c3C2=O)[C@@]1([H])C(=O)[O-]
