checking coverage with
forcefield = input/tm.v2.offxml
dataset = ../projects/valence-fitting/02_curate-data/datasets/combined-td.json
finished loading collection after 0.3 s
finished to_records after 148.5 s
finished counting results after 186.1 s
187 / 225 (83.1%) tors ids covered:
t61g      0 [!#1:1]-[#7X4:2]-[#6X4;r3:3]-[*:4]
t61h      3 [!#1:1]-[#7X3:2]-[#6X4;r3:3]-[*:4]
t62g      0 [!#1:1]-[#7X4:2]-[#6X4;r3:3]-[#6X4;r3:4]
t62h      1 [!#1:1]-[#7X3:2]-[#6X4;r3:3]-[#6X4;r3:4]
t63       8 [*:1]-[#7X4:2]-[#6X3:3]~[*:4]
t64      11 [*:1]-[#6X4:2]-[#7X3$(*~[#6X3,#6X2]):3]~[*:4]
t65       6 [*:1]-[#6X4:2]-[#7X3$(*~[#8X1]):3]~[#8X1:4]
t66      13 [#6X3:1]-[#7X3:2]-[#6X4:3]-[#6X3:4]
t67       6 [#6X4:1]-[#6X4:2]-[#7X3:3]-[#6X3:4]=[#8,#16,#7]
t68       6 [#8X2H0:1]-[#6X4:2]-[#7X3:3]-[#6X3:4]
t69      14 [#6X3:1]-[#7X3:2]-[#6X4;r3:3]-[#6X4;r3:4]
t70       5 [*:1]~[#7X2:2]-[#6X4:3]-[*:4]
t71g      6 [#6X3:1]=[#7X2:2]-[#6X4:3]-[#1:4]
t71h      1 [#6X3:1]=[#7X3+1:2]-[#6X4:3]-[#1:4]
t72g      5 [#6X3:1]=[#7X2:2]-[#6X4:3]-[#6X3,#6X4:4]
t72h      0 [#6X3:1]=[#7X3+1:2]-[#6X4:3]-[#6X3,#6X4:4]
t73g      4 [*:1]~[#7X3:2]-[#6X3:3]~[*:4]
t73h      2 [*:1]~[#7X2-1:2]-[#6X3:3]~[*:4]
t74g      9 [*:1]~[#7X3:2]-!@[#6X3:3]~[*:4]
t74h      5 [*:1]~[#7X2-1:2]-!@[#6X3:3]~[*:4]
t75      18 [*:1]-[#7X3:2]-[#6X3$(*=[#8,#16,#7]):3]~[*:4]
t76       2 [#1:1]-[#7X3:2]-[#6X3:3]=[#8,#16,#7:4]
t77       3 [*:1]-[#7X3:2]-!@[#6X3:3](=[#8,#16,#7:4])-[#6,#1]
t78      15 [#1:1]-[#7X3:2]-!@[#6X3:3](=[#8,#16,#7:4])-[#6,#1]
t79       7 [*:1]-[#7X3:2]-!@[#6X3:3](=[#8,#16,#7:4])-[#7X3]
t80      20 [*:1]-[#7X3;r5:2]-@[#6X3;r5:3]~[*:4]
t81       1 [#8X1:1]~[#7X3:2]~[#6X3:3]~[*:4]
t82g     10 [*:1]=[#7X2:2]-[#6X3:3]-[*:4]
t82h      1 [*:1]=[#7X3+1:2]-[#6X3:3]-[*:4]
t82a      3 [*:1]-[#6X3:2]-[#7X3:3](~[#8X1])~[#8X1:4]
t83g      8 [*:1]=[#7X2:2]-[#6X3:3]=,:[*:4]
t83h      0 [*:1]=[#7X3+1:2]-[#6X3:3]=,:[*:4]
t83a     12 [*:1]=,:[#6X3:2]-[#7X3:3](~[#8X1])~[#8X1:4]
t84      13 [*:1]~[#7X2,#7X3$(*~[#8X1]):2]:[#6X3:3]~[*:4]
t85      12 [#6X3:1]:[#7X2:2]:[#6X3:3]:[#6X3:4]
t86       3 [*:1]-,:[#6X3:2]=[#7X2:3]-[*:4]
t87       4 [*:1]-[#7X3+1:2]=,:[#6X3:3]-,:[*:4]
t87a      0 [*:1]-[#7X3:2]~!@[#6X3:3](~!@[#7X3])~!@[#7X3:4]
t88       0 [#16X4,#16X3+0:1]-[#7X2:2]=[#6X3:3]-[#7X3:4]
t89       0 [#16X4,#16X3+0:1]-[#7X2:2]=[#6X3:3]-[#16X2,#16X3+1:4]
t90       6 [#7X2:1]~[#7X2:2]-[#6X3:3]~[#6X3:4]
t91       9 [#7X2:1]~[#7X2:2]-[#6X4:3]-[#6X3:4]
t92       2 [#7X2:1]~[#7X2:2]-[#6X4:3]~[#1:4]
t93       9 [*:1]-[#6X4:2]-[#8X2:3]-[#1:4]
t94      10 [#6X4:1]-[#6X4:2]-[#8X2H1:3]-[#1:4]
t95      15 [*:1]-[#6X4:2]-[#8X2H0:3]-[*:4]
t96      10 [#6X4:1]-[#6X4:2]-[#8X2H0:3]-[#6X4:4]
t97       9 [#6X4:1]-[#6X4:2]-[#8X2:3]-[#6X3:4]
t98       5 [#6X4:1]-[#8X2:2]-[#6X4:3]-[#8X2:4]
t99       6 [#6X4:1]-[#8X2:2]-[#6X4:3]-[#7X3:4]
t100      6 [#6X3:1]-[#8X2:2]-[#6X4;r3:3]-@[#6X4;r3:4]
t101      0 [#6X3:1]-[#8X2:2]-[#6X4;r3:3]-[#1:4]
t102      6 [#1:1]-[#8X2:2]-[#6X4;r3:3]-[#1:4]
t103      4 [#1:1]-[#8X2:2]-[#6X4;r3:3]-[#6X4:4]
t104      5 [#1:1]-[#8X2:2]-[#6X4;r3:3]-[#6X4;r3:4]
t105     17 [*:1]~[#6X3:2]-[#8X2:3]-[*:4]
t106     17 [*:1]~[#6X3:2]-[#8X2:3]-[#1:4]
t107     13 [*:1]~[#6X3:2](=[#8,#16,#7])-[#8X2H0:3]-[*:4]
t108      6 [*:1]~[#6X3:2](=[#8,#16,#7])-[#8:3]-[#1:4]
t109      6 [#1:1]-[#8X2:2]-[#6X3:3]=[#8X1:4]
t110      8 [#8,#16,#7:1]=[#6X3:2]-[#8X2H0:3]-[#6X4:4]
t111     18 [*:1]-[#8X2:2]@[#6X3:3]~[*:4]
t112      1 [*:1]-[#8X2+1:2]=[#6X3:3]-[*:4]
t113      5 [*:1]=[#8X2+1:2]-[#6:3]~[*:4]
t114      4 [*:1]~[#16:2]=,:[#6:3]~[*:4]
t115g    14 [*:1]-[#16X2:2]-[#6:3]~[*:4]
t115h     0 [*:1]-[#16X3+1:2]-[#6:3]~[*:4]
t116g     1 [*:1]-[#16X2:2]-[#6X3:3]-[#1:4]
t116h     7 [*:1]-[#16X2:2]-[#6X4:3]-[#1:4]
t116i     0 [*:1]-[#16X3+1:2]-[#6X3:3]-[#1:4]
t116j     0 [*:1]-[#16X3+1:2]-[#6X4:3]-[#1:4]
t117     15 [#6X3:1]-@[#16X2,#16X1-1,#16X3+1:2]-@[#6X3,#7X2;r5:3]=@[#6,#7;r5:4]
t118g    11 [*:1]~[#16X4:2]-[#6X4:3]-[*:4]
t118h     0 [*:1]~[#16X3!+1:2]-[#6X4:3]-[*:4]
t119g    11 [#6X4:1]-[#16X4:2]-[#6X4:3]-[#1:4]
t119h     0 [#6X4:1]-[#16X3+0:2]-[#6X4:3]-[#1:4]
t120g     6 [#6X4:1]-[#16X4:2]-[#6X4:3]~[#6X4:4]
t120h     0 [#6X4:1]-[#16X3+0:2]-[#6X4:3]~[#6X4:4]
t121g    11 [*:1]~[#16X4:2]-[#6X3:3]~[*:4]
t121h     2 [*:1]~[#16X3+0:2]-[#6X3:3]~[*:4]
t122g     5 [#6X2:1]-[#16X4:2]-[#6X3:3]~[*:4]
t122h     4 [#6X2:1]-[#16X3+0:2]-[#6X3:3]~[*:4]
t122i     3 [#6X3:1]-[#16X4:2]-[#6X3:3]~[*:4]
t122j     7 [#6X3:1]-[#16X3+0:2]-[#6X3:3]~[*:4]
t122k     5 [#6X4:1]-[#16X4:2]-[#6X3:3]~[*:4]
t122l     1 [#6X4:1]-[#16X3+0:2]-[#6X3:3]~[*:4]
t123      0 [*:1]~[#15:2]-[#6:3]-[*:4]
t123a     5 [*:1]~[#15:2]-[#6X4:3]-[*:4]
t124      7 [*:1]~[#15:2]-[#6X3:3]~[*:4]
t125      7 [*:1]-[#8:2]-[#8:3]-[*:4]
t126      1 [*:1]-[#8:2]-[#8H1:3]-[*:4]
t127     10 [*:1]~[#8X2:2]-[#7:3]~[*:4]
t128      4 [*:1]-[#8X2r5:2]-;@[#7X3r5:3]~[*:4]
